population,full
13975,"gogebic, michigan"
821,"golden valley, montana"
1761,"golden valley, north dakota"
7658,"goliad, texas"
20837,"gonzales, texas"
23753,"goochland, virginia"
46340,"goodhue, minnesota"
15179,"gooding, idaho"
57963,"gordon, georgia"
13211,"goshen, wyoming"
1990,"gosper, nebraska"
2636,"gove, kansas"
24633,"grady, georgia"
55834,"grady, oklahoma"
89886,"grafton, new hampshire"
38837,"graham, arizona"
2482,"graham, kansas"
8441,"graham, north carolina"
23320,"grainger, tennessee"
69451,"grand forks, north dakota"
7235,"grand isle, vermont"
93088,"grand traverse, michigan"
15734,"grand, colorado"
9754,"grand, utah"
3379,"granite, montana"
18265,"grant, arkansas"
65769,"grant, indiana"
7150,"grant, kansas"
25069,"grant, kentucky"
22389,"grant, louisiana"
5972,"grant, minnesota"
623,"grant, nebraska"
26998,"grant, new mexico"
2274,"grant, north dakota"
4333,"grant, oklahoma"
7199,"grant, oregon"
7052,"grant, south dakota"
97733,"grant, washington"
11568,"grant, west virginia"
51439,"grant, wisconsin"
60443,"granville, north carolina"
40711,"gratiot, michigan"
37266,"graves, kentucky"
5988,"gray, kansas"
21886,"gray, texas"
75061,"grays harbor, washington"
26427,"grayson, kentucky"
136212,"grayson, texas"
15550,"grayson, virginia"
1232,"greeley, kansas"
2356,"greeley, nebraska"
18913,"green lake, wisconsin"
10941,"green, kentucky"
36960,"green, wisconsin"
34662,"greenbrier, west virginia"
8111,"greene, alabama"
45325,"greene, arkansas"
18324,"greene, georgia"
12969,"greene, illinois"
31922,"greene, indiana"
8888,"greene, iowa"
13586,"greene, mississippi"
293086,"greene, missouri"
47188,"greene, new york"
21069,"greene, north carolina"
168937,"greene, ohio"
36233,"greene, pennsylvania"
69069,"greene, tennessee"
19819,"greene, virginia"
9498,"greenlee, arizona"
11336,"greensville, virginia"
35098,"greenup, kentucky"
523542,"greenville, south carolina"
5982,"greenwood, kansas"
70811,"greenwood, south carolina"
5712,"greer, oklahoma"
123945,"gregg, texas"
4185,"gregory, south dakota"
20758,"grenada, mississippi"
2231,"griggs, north dakota"
28880,"grimes, texas"
51054,"grundy, illinois"
12232,"grundy, iowa"
9850,"grundy, missouri"
13427,"grundy, tennessee"
4300,"guadalupe, new mexico"
166847,"guadalupe, texas"
38875,"guernsey, ohio"
537174,"guilford, north carolina"
13639,"gulf, florida"
17462,"gunnison, colorado"
10689,"guthrie, iowa"
936250,"gwinnett, georgia"
1899,"haakon, south dakota"
45328,"habersham, georgia"
2530,"haines, alaska"
14651,"hale, alabama"
33406,"hale, texas"
50010,"halifax, north carolina"
33911,"halifax, virginia"
204441,"hall, georgia"
61353,"hall, nebraska"
2964,"hall, texas"
64934,"hamblen, tennessee"
14428,"hamilton, florida"
8116,"hamilton, illinois"
338011,"hamilton, indiana"
14773,"hamilton, iowa"
2539,"hamilton, kansas"
9324,"hamilton, nebraska"
4416,"hamilton, new york"
817473,"hamilton, ohio"
367804,"hamilton, tennessee"
8461,"hamilton, texas"
6164,"hamlin, south dakota"
466372,"hampden, massachusetts"
160830,"hampshire, massachusetts"
23175,"hampshire, west virginia"
19222,"hampton, south carolina"
134510,"hampton, virginia"
8457,"hancock, georgia"
17708,"hancock, illinois"
78168,"hancock, indiana"
10630,"hancock, iowa"
8722,"hancock, kentucky"
54987,"hancock, maine"
47632,"hancock, mississippi"
75783,"hancock, ohio"
6620,"hancock, tennessee"
28810,"hancock, west virginia"
3191,"hand, south dakota"
107766,"hanover, virginia"
5399,"hansford, texas"
3453,"hanson, south dakota"
29792,"haralson, georgia"
26937,"hardee, florida"
25050,"hardeman, tennessee"
3933,"hardeman, texas"
3821,"hardin, illinois"
16846,"hardin, iowa"
110958,"hardin, kentucky"
31365,"hardin, ohio"
25652,"hardin, tennessee"
57602,"hardin, texas"
625,"harding, new mexico"
1298,"harding, south dakota"
13776,"hardy, west virginia"
255441,"harford, maryland"
26010,"harlan, kentucky"
3380,"harlan, nebraska"
2653,"harmon, oklahoma"
135976,"harnett, north carolina"
7393,"harney, oregon"
5436,"harper, kansas"
3688,"harper, oklahoma"
35236,"harris, georgia"
4713325,"harris, texas"
40515,"harrison, indiana"
14049,"harrison, iowa"
18886,"harrison, kentucky"
208080,"harrison, mississippi"
8352,"harrison, missouri"
15040,"harrison, ohio"
66553,"harrison, texas"
67256,"harrison, west virginia"
53016,"harrisonburg, virginia"
26205,"hart, georgia"
19035,"hart, kentucky"
891720,"hartford, connecticut"
5576,"hartley, texas"
34429,"harvey, kansas"
3968,"haskell, kansas"
12627,"haskell, oklahoma"
5658,"haskell, texas"
201513,"hawaii, hawaii"
56786,"hawkins, tennessee"
922,"hayes, nebraska"
230191,"hays, texas"
62317,"haywood, north carolina"
17304,"haywood, tennessee"
11923,"heard, georgia"
3819,"hemphill, texas"
21532,"hempstead, arkansas"
6646,"henderson, illinois"
45210,"henderson, kentucky"
117417,"henderson, north carolina"
28117,"henderson, tennessee"
82737,"henderson, texas"
170311,"hendricks, indiana"
42022,"hendry, florida"
1265843,"hennepin, minnesota"
330818,"henrico, virginia"
17205,"henry, alabama"
234561,"henry, georgia"
48913,"henry, illinois"
47972,"henry, indiana"
19954,"henry, iowa"
16126,"henry, kentucky"
21824,"henry, missouri"
27006,"henry, ohio"
32345,"henry, tennessee"
50557,"henry, virginia"
61319,"herkimer, new york"
193920,"hernando, florida"
23677,"hertford, north carolina"
2499,"hettinger, north dakota"
4380,"hickman, kentucky"
25178,"hickman, tennessee"
9544,"hickory, missouri"
4198,"hidalgo, new mexico"
868707,"hidalgo, texas"
43161,"highland, ohio"
2190,"highland, virginia"
106221,"highlands, florida"
16484,"hill, montana"
36649,"hill, texas"
1471968,"hillsborough, florida"
417025,"hillsborough, new hampshire"
45605,"hillsdale, michigan"
231840,"hinds, mississippi"
820,"hinsdale, colorado"
2762,"hitchcock, nebraska"
28264,"hocking, ohio"
23021,"hockley, texas"
1794,"hodgeman, kansas"
55234,"hoke, north carolina"
19617,"holmes, florida"
17010,"holmes, mississippi"
43960,"holmes, ohio"
4403,"holt, missouri"
10067,"holt, nebraska"
974563,"honolulu, hawaii"
23382,"hood river, oregon"
61643,"hood, texas"
682,"hooker, nebraska"
22529,"hopewell, virginia"
44686,"hopkins, kentucky"
37084,"hopkins, texas"
354081,"horry, south carolina"
33771,"hot spring, arkansas"
4413,"hot springs, wyoming"
35684,"houghton, michigan"
105882,"houston, alabama"
157863,"houston, georgia"
18600,"houston, minnesota"
8201,"houston, tennessee"
22968,"houston, texas"
13202,"howard, arkansas"
82544,"howard, indiana"
9158,"howard, iowa"
325690,"howard, maryland"
10001,"howard, missouri"
6445,"howard, nebraska"
36664,"howard, texas"
40117,"howell, missouri"
21491,"hubbard, minnesota"
672391,"hudson, new jersey"
4886,"hudspeth, texas"
6897,"huerfano, colorado"
13279,"hughes, oklahoma"
17526,"hughes, south dakota"
135558,"humboldt, california"
9558,"humboldt, iowa"
16831,"humboldt, nevada"
8064,"humphreys, mississippi"
18582,"humphreys, tennessee"
98594,"hunt, texas"
124371,"hunterdon, new jersey"
45144,"huntingdon, pennsylvania"
36520,"huntington, indiana"
30981,"huron, michigan"
58266,"huron, ohio"
7291,"hutchinson, south dakota"
20938,"hutchinson, texas"
4937,"hyde, north carolina"
1301,"hyde, south dakota"
69830,"iberia, louisiana"
32511,"iberville, louisiana"
6860,"ida, iowa"
16667,"idaho, idaho"
181215,"imperial, california"
37825,"independence, arkansas"
159923,"indian river, florida"
84073,"indiana, pennsylvania"
292406,"ingham, michigan"
18039,"inyo, california"
64697,"ionia, michigan"
25127,"iosco, michigan"
16184,"iowa, iowa"
23678,"iowa, wisconsin"
181806,"iredell, north carolina"
1536,"irion, texas"
11066,"iron, michigan"
10125,"iron, missouri"
54839,"iron, utah"
5687,"iron, wisconsin"
27114,"iroquois, illinois"
9416,"irwin, georgia"
69872,"isabella, michigan"
40596,"isanti, minnesota"
85141,"island, washington"
37109,"isle of wight, virginia"
1327,"issaquena, mississippi"
45130,"itasca, minnesota"
23390,"itawamba, mississippi"
13629,"izard, arkansas"
8935,"jack, texas"
51626,"jackson, alabama"
16719,"jackson, arkansas"
1392,"jackson, colorado"
46414,"jackson, florida"
72977,"jackson, georgia"
56750,"jackson, illinois"
44231,"jackson, indiana"
19439,"jackson, iowa"
13171,"jackson, kansas"
13329,"jackson, kentucky"
15744,"jackson, louisiana"
158510,"jackson, michigan"
9846,"jackson, minnesota"
143617,"jackson, mississippi"
703011,"jackson, missouri"
43938,"jackson, north carolina"
32413,"jackson, ohio"
24530,"jackson, oklahoma"
220944,"jackson, oregon"
3344,"jackson, south dakota"
11786,"jackson, tennessee"
14760,"jackson, texas"
28576,"jackson, west virginia"
20643,"jackson, wisconsin"
76523,"james city, virginia"
14219,"jasper, georgia"
9610,"jasper, illinois"
33562,"jasper, indiana"
37185,"jasper, iowa"
16383,"jasper, mississippi"
121328,"jasper, missouri"
30073,"jasper, south carolina"
35529,"jasper, texas"
20436,"jay, indiana"
15115,"jeff davis, georgia"
2274,"jeff davis, texas"
31368,"jefferson davis, louisiana"
11128,"jefferson davis, mississippi"
658573,"jefferson, alabama"
66824,"jefferson, arkansas"
582881,"jefferson, colorado"
14246,"jefferson, florida"
15362,"jefferson, georgia"
29871,"jefferson, idaho"
37684,"jefferson, illinois"
32308,"jefferson, indiana"
18295,"jefferson, iowa"
19043,"jefferson, kansas"
766757,"jefferson, kentucky"
432493,"jefferson, louisiana"
6990,"jefferson, mississippi"
225081,"jefferson, missouri"
12221,"jefferson, montana"
7046,"jefferson, nebraska"
109834,"jefferson, new york"
65325,"jefferson, ohio"
6002,"jefferson, oklahoma"
24658,"jefferson, oregon"
43425,"jefferson, pennsylvania"
54495,"jefferson, tennessee"
251565,"jefferson, texas"
32221,"jefferson, washington"
57146,"jefferson, west virginia"
84769,"jefferson, wisconsin"
8676,"jenkins, georgia"
27735,"jennings, indiana"
2013,"jerauld, south dakota"
24412,"jerome, idaho"
21773,"jersey, illinois"
54115,"jessamine, kentucky"
2879,"jewell, kansas"
5200,"jim hogg, texas"
40482,"jim wells, texas"
21235,"jo daviess, illinois"
26578,"johnson, arkansas"
9643,"johnson, georgia"
12417,"johnson, illinois"
158167,"johnson, indiana"
151140,"johnson, iowa"
602401,"johnson, kansas"
22188,"johnson, kentucky"
54062,"johnson, missouri"
5071,"johnson, nebraska"
17788,"johnson, tennessee"
175817,"johnson, texas"
8445,"johnson, wyoming"
209339,"johnston, north carolina"
11085,"johnston, oklahoma"
28735,"jones, georgia"
20681,"jones, iowa"
68098,"jones, mississippi"
9419,"jones, north carolina"
903,"jones, south dakota"
20083,"jones, texas"
87487,"josephine, oregon"
12017,"juab, utah"
2007,"judith basin, montana"
31974,"juneau, alaska"
26687,"juneau, wisconsin"
24763,"juniata, pennsylvania"
265066,"kalamazoo, michigan"
86,"kalawao, hawaii"
18038,"kalkaska, michigan"
16337,"kanabec, minnesota"
178124,"kanawha, west virginia"
43199,"kandiyohi, minnesota"
532403,"kane, illinois"
7886,"kane, utah"
109862,"kankakee, illinois"
15601,"karnes, texas"
72293,"kauai, hawaii"
136154,"kaufman, texas"
43538,"kay, oklahoma"
6495,"kearney, nebraska"
3838,"kearny, kansas"
8034,"keith, nebraska"
9742,"kemper, mississippi"
58708,"kenai peninsula, alaska"
128990,"kendall, illinois"
47431,"kendall, texas"
404,"kenedy, texas"
122302,"kennebec, maine"
169561,"kenosha, wisconsin"
180786,"kent, delaware"
19422,"kent, maryland"
656955,"kent, michigan"
164292,"kent, rhode island"
762,"kent, texas"
166998,"kenton, kentucky"
10246,"keokuk, iowa"
900202,"kern, california"
52600,"kerr, texas"
66551,"kershaw, south carolina"
13901,"ketchikan gateway, alaska"
20434,"kewaunee, wisconsin"
2116,"keweenaw, michigan"
806,"keya paha, nebraska"
2480,"kidder, north dakota"
3632,"kimball, nebraska"
4337,"kimble, texas"
7025,"king and queen, virginia"
26836,"king george, virginia"
17148,"king william, virginia"
272,"king, texas"
2252782,"king, washington"
15765,"kingfisher, oklahoma"
7152,"kingman, kansas"
152940,"kings, california"
2559903,"kings, new york"
4939,"kingsbury, south dakota"
3667,"kinney, texas"
1406,"kiowa, colorado"
2475,"kiowa, kansas"
8708,"kiowa, oklahoma"
7097,"kit carson, colorado"
271473,"kitsap, washington"
47935,"kittitas, washington"
4298,"kittson, minnesota"
68238,"klamath, oregon"
30680,"kleberg, texas"
22425,"klickitat, washington"
14806,"knott, kentucky"
49699,"knox, illinois"
36594,"knox, indiana"
31145,"knox, kentucky"
39772,"knox, maine"
3959,"knox, missouri"
8332,"knox, nebraska"
62322,"knox, ohio"
470313,"knox, tennessee"
3664,"knox, texas"
12998,"kodiak island, alaska"
12229,"koochiching, minnesota"
165697,"kootenai, idaho"
79456,"kosciusko, indiana"
14813,"kossuth, iowa"
118016,"la crosse, wisconsin"
21108,"la paz, arizona"
56221,"la plata, colorado"
7520,"la salle, texas"
19618,"labette, kansas"
6623,"lac qui parle, minnesota"
209674,"lackawanna, pennsylvania"
35723,"laclede, missouri"
6624,"lafayette, arkansas"
8422,"lafayette, florida"
244390,"lafayette, louisiana"
54019,"lafayette, mississippi"
32708,"lafayette, missouri"
16665,"lafayette, wisconsin"
97614,"lafourche, louisiana"
39614,"lagrange, indiana"
1592,"lake and peninsula, alaska"
3740,"lake of the woods, minnesota"
64386,"lake, california"
8127,"lake, colorado"
367118,"lake, florida"
696535,"lake, illinois"
485493,"lake, indiana"
11853,"lake, michigan"
10641,"lake, minnesota"
30458,"lake, montana"
230149,"lake, ohio"
7869,"lake, oregon"
12797,"lake, south dakota"
7016,"lake, tennessee"
13805,"lamar, alabama"
19077,"lamar, georgia"
63343,"lamar, mississippi"
49859,"lamar, texas"
12893,"lamb, texas"
25362,"lamoille, vermont"
4046,"lamoure, north dakota"
21428,"lampasas, texas"
319090,"lancaster, nebraska"
545724,"lancaster, pennsylvania"
98012,"lancaster, south carolina"
10603,"lancaster, virginia"
5532,"lander, nevada"
1535,"lane, kansas"
382067,"lane, oregon"
19189,"langlade, wisconsin"
10423,"lanier, georgia"
87607,"lapeer, michigan"
109888,"laporte, indiana"
99500,"laramie, wyoming"
356899,"larimer, colorado"
14398,"larue, kentucky"
14506,"las animas, colorado"
108669,"lasalle, illinois"
14892,"lasalle, louisiana"
30573,"lassen, california"
40108,"latah, idaho"
10073,"latimer, oklahoma"
92729,"lauderdale, alabama"
74125,"lauderdale, mississippi"
25633,"lauderdale, tennessee"
60813,"laurel, kentucky"
47546,"laurens, georgia"
67493,"laurens, south carolina"
20154,"lavaca, texas"
32924,"lawrence, alabama"
16406,"lawrence, arkansas"
15678,"lawrence, illinois"
45370,"lawrence, indiana"
15317,"lawrence, kentucky"
12586,"lawrence, mississippi"
38355,"lawrence, missouri"
59463,"lawrence, ohio"
85512,"lawrence, pennsylvania"
25844,"lawrence, south dakota"
44142,"lawrence, tennessee"
49853,"le flore, oklahoma"
28887,"le sueur, minnesota"
71070,"lea, new mexico"
22786,"leake, mississippi"
81758,"leavenworth, kansas"
141793,"lebanon, pennsylvania"
164542,"lee, alabama"
8857,"lee, arkansas"
770577,"lee, florida"
29992,"lee, georgia"
34096,"lee, illinois"
33657,"lee, iowa"
7403,"lee, kentucky"
85436,"lee, mississippi"
61779,"lee, north carolina"
16828,"lee, south carolina"
17239,"lee, texas"
23423,"lee, virginia"
21761,"leelanau, michigan"
28183,"leflore, mississippi"
369318,"lehigh, pennsylvania"
8027,"lemhi, idaho"
98451,"lenawee, michigan"
55949,"lenoir, north carolina"
293582,"leon, florida"
17404,"leon, texas"
9877,"leslie, kentucky"
21553,"letcher, kentucky"
41503,"levy, florida"
69432,"lewis and clark, montana"
3838,"lewis, idaho"
13275,"lewis, kentucky"
9776,"lewis, missouri"
26296,"lewis, new york"
12268,"lewis, tennessee"
80707,"lewis, washington"
15907,"lewis, west virginia"
298750,"lexington, south carolina"
7446,"lexington, virginia"
8354,"liberty, florida"
61435,"liberty, georgia"
2337,"liberty, montana"
88219,"liberty, texas"
176862,"licking, ohio"
98915,"limestone, alabama"
23437,"limestone, texas"
13024,"lincoln, arkansas"
5701,"lincoln, colorado"
7921,"lincoln, georgia"
5366,"lincoln, idaho"
2962,"lincoln, kansas"
24549,"lincoln, kentucky"
46742,"lincoln, louisiana"
34634,"lincoln, maine"
5639,"lincoln, minnesota"
34153,"lincoln, mississippi"
59013,"lincoln, missouri"
19980,"lincoln, montana"
34914,"lincoln, nebraska"
5183,"lincoln, nevada"
19572,"lincoln, new mexico"
86111,"lincoln, north carolina"
34877,"lincoln, oklahoma"
49962,"lincoln, oregon"
61128,"lincoln, south dakota"
34366,"lincoln, tennessee"
10939,"lincoln, washington"
20409,"lincoln, west virginia"
27593,"lincoln, wisconsin"
19830,"lincoln, wyoming"
226706,"linn, iowa"
9703,"linn, kansas"
11920,"linn, missouri"
129749,"linn, oregon"
3233,"lipscomb, texas"
180333,"litchfield, connecticut"
12259,"little river, arkansas"
12207,"live oak, texas"
35648,"livingston, illinois"
9194,"livingston, kentucky"
140789,"livingston, louisiana"
191995,"livingston, michigan"
15227,"livingston, missouri"
62914,"livingston, new york"
21795,"llano, texas"
21466,"logan, arkansas"
22409,"logan, colorado"
28618,"logan, illinois"
2794,"logan, kansas"
27102,"logan, kentucky"
748,"logan, nebraska"
1850,"logan, north dakota"
45672,"logan, ohio"
48011,"logan, oklahoma"
32019,"logan, west virginia"
19559,"long, georgia"
73309,"lonoke, arkansas"
309833,"lorain, ohio"
19369,"los alamos, new mexico"
10039107,"los angeles, california"
54068,"loudon, tennessee"
413538,"loudoun, virginia"
11035,"louisa, iowa"
37591,"louisa, virginia"
664,"loup, nebraska"
10253,"love, oklahoma"
169,"loving, texas"
9726,"lowndes, alabama"
117406,"lowndes, georgia"
58595,"lowndes, mississippi"
310569,"lubbock, texas"
8600,"lucas, iowa"
428348,"lucas, ohio"
6229,"luce, michigan"
33610,"lumpkin, georgia"
23709,"luna, new mexico"
12196,"lunenburg, virginia"
317417,"luzerne, pennsylvania"
113299,"lycoming, pennsylvania"
3781,"lyman, south dakota"
82168,"lynchburg, virginia"
5951,"lynn, texas"
11755,"lyon, iowa"
33195,"lyon, kansas"
8210,"lyon, kentucky"
25474,"lyon, minnesota"
57510,"lyon, nevada"
10799,"mackinac, michigan"
873972,"macomb, michigan"
18068,"macon, alabama"
12947,"macon, georgia"
104009,"macon, illinois"
15117,"macon, missouri"
35858,"macon, north carolina"
24602,"macon, tennessee"
44926,"macoupin, illinois"
157327,"madera, california"
372909,"madison, alabama"
16576,"madison, arkansas"
18493,"madison, florida"
29880,"madison, georgia"
39907,"madison, idaho"
262966,"madison, illinois"
129569,"madison, indiana"
16338,"madison, iowa"
92987,"madison, kentucky"
10951,"madison, louisiana"
106272,"madison, mississippi"
12088,"madison, missouri"
8600,"madison, montana"
35099,"madison, nebraska"
70941,"madison, new york"
21755,"madison, north carolina"
44731,"madison, ohio"
97984,"madison, tennessee"
14284,"madison, texas"
13261,"madison, virginia"
12161,"magoffin, kentucky"
22095,"mahaska, iowa"
5527,"mahnomen, minnesota"
228683,"mahoning, ohio"
7629,"major, oklahoma"
30571,"malheur, oregon"
17478,"manassas park, virginia"
41085,"manassas, virginia"
403253,"manatee, florida"
24558,"manistee, michigan"
78981,"manitowoc, wisconsin"
135692,"marathon, wisconsin"
18863,"marengo, alabama"
4485414,"maricopa, arizona"
8697,"maries, missouri"
258826,"marin, california"
40350,"marinette, wisconsin"
29709,"marion, alabama"
16694,"marion, arkansas"
365579,"marion, florida"
8359,"marion, georgia"
37205,"marion, illinois"
964582,"marion, indiana"
33253,"marion, iowa"
11884,"marion, kansas"
19273,"marion, kentucky"
24573,"marion, mississippi"
28530,"marion, missouri"
65093,"marion, ohio"
347818,"marion, oregon"
30657,"marion, south carolina"
28907,"marion, tennessee"
9854,"marion, texas"
56072,"marion, west virginia"
17203,"mariposa, california"
26118,"marlboro, south carolina"
66699,"marquette, michigan"
15574,"marquette, wisconsin"
96774,"marshall, alabama"
11438,"marshall, illinois"
46258,"marshall, indiana"
39369,"marshall, iowa"
9707,"marshall, kansas"
31100,"marshall, kentucky"
9336,"marshall, minnesota"
35294,"marshall, mississippi"
16931,"marshall, oklahoma"
4935,"marshall, south dakota"
34375,"marshall, tennessee"
30531,"marshall, west virginia"
161000,"martin, florida"
10255,"martin, indiana"
11195,"martin, kentucky"
19683,"martin, minnesota"
22440,"martin, north carolina"
5771,"martin, texas"
12554,"martinsville, virginia"
13359,"mason, illinois"
17070,"mason, kentucky"
29144,"mason, michigan"
4274,"mason, texas"
66768,"mason, washington"
26516,"mason, west virginia"
13772,"massac, illinois"
36643,"matagorda, texas"
108317,"matanuska-susitna, alaska"
8834,"mathews, virginia"
167417,"maui, hawaii"
96387,"maury, tennessee"
58722,"maverick, texas"
41100,"mayes, oklahoma"
40474,"mcclain, oklahoma"
1664,"mccone, montana"
5586,"mccook, south dakota"
9463,"mccormick, south carolina"
65418,"mccracken, kentucky"
17231,"mccreary, kentucky"
7984,"mcculloch, texas"
32832,"mccurtain, oklahoma"
22837,"mcdonald, missouri"
29682,"mcdonough, illinois"
45756,"mcdowell, north carolina"
17624,"mcdowell, west virginia"
21312,"mcduffie, georgia"
307774,"mchenry, illinois"
5745,"mchenry, north dakota"
14378,"mcintosh, georgia"
2497,"mcintosh, north dakota"
19596,"mcintosh, oklahoma"
40625,"mckean, pennsylvania"
15024,"mckenzie, north dakota"
71367,"mckinley, new mexico"
171517,"mclean, illinois"
9207,"mclean, kentucky"
9450,"mclean, north dakota"
256623,"mclennan, texas"
35893,"mcleod, minnesota"
53794,"mcminn, tennessee"
743,"mcmullen, texas"
25694,"mcnairy, tennessee"
28542,"mcpherson, kansas"
494,"mcpherson, nebraska"
2379,"mcpherson, south dakota"
4033,"meade, kansas"
28572,"meade, kentucky"
28332,"meade, south dakota"
1862,"meagher, montana"
1110356,"mecklenburg, north carolina"
30587,"mecklenburg, virginia"
43453,"mecosta, michigan"
179746,"medina, ohio"
51584,"medina, texas"
23222,"meeker, minnesota"
22907,"meigs, ohio"
12422,"meigs, tennessee"
2061,"mellette, south dakota"
12196,"menard, illinois"
2138,"menard, texas"
86749,"mendocino, california"
6489,"menifee, kentucky"
22780,"menominee, michigan"
4556,"menominee, wisconsin"
277680,"merced, california"
15437,"mercer, illinois"
21933,"mercer, kentucky"
3617,"mercer, missouri"
367430,"mercer, new jersey"
8187,"mercer, north dakota"
41172,"mercer, ohio"
109424,"mercer, pennsylvania"
58758,"mercer, west virginia"
21167,"meriwether, georgia"
7755,"merrick, nebraska"
151391,"merrimack, new hampshire"
154210,"mesa, colorado"
10071,"metcalfe, kentucky"
35516,"miami, indiana"
34237,"miami, kansas"
106987,"miami, ohio"
2716940,"miami-dade, florida"
162436,"middlesex, connecticut"
1611699,"middlesex, massachusetts"
825062,"middlesex, new jersey"
10582,"middlesex, virginia"
83156,"midland, michigan"
176832,"midland, texas"
46138,"mifflin, pennsylvania"
24823,"milam, texas"
13188,"millard, utah"
26277,"mille lacs, minnesota"
43257,"miller, arkansas"
5718,"miller, georgia"
25619,"miller, missouri"
15109,"mills, iowa"
4873,"mills, texas"
945726,"milwaukee, wisconsin"
2216,"miner, south dakota"
769,"mineral, colorado"
4397,"mineral, montana"
4505,"mineral, nevada"
26868,"mineral, west virginia"
23424,"mingo, west virginia"
21039,"minidoka, idaho"
193134,"minnehaha, south dakota"
15118,"missaukee, michigan"
40651,"mississippi, arkansas"
13180,"mississippi, missouri"
119600,"missoula, montana"
21863,"mitchell, georgia"
10586,"mitchell, iowa"
5979,"mitchell, kansas"
14964,"mitchell, north carolina"
8545,"mitchell, texas"
413210,"mobile, alabama"
8841,"modoc, california"
13283,"moffat, colorado"
212181,"mohave, arizona"
16132,"moniteau, missouri"
618795,"monmouth, new jersey"
14444,"mono, california"
8615,"monona, iowa"
105612,"monongalia, west virginia"
20733,"monroe, alabama"
6701,"monroe, arkansas"
74228,"monroe, florida"
27578,"monroe, georgia"
34637,"monroe, illinois"
148431,"monroe, indiana"
7707,"monroe, iowa"
10650,"monroe, kentucky"
150500,"monroe, michigan"
35252,"monroe, mississippi"
8644,"monroe, missouri"
741770,"monroe, new york"
13654,"monroe, ohio"
170271,"monroe, pennsylvania"
46545,"monroe, tennessee"
13275,"monroe, west virginia"
46253,"monroe, wisconsin"
19818,"montague, texas"
63888,"montcalm, michigan"
434061,"monterey, california"
26183,"montezuma, colorado"
226486,"montgomery, alabama"
8986,"montgomery, arkansas"
9172,"montgomery, georgia"
28414,"montgomery, illinois"
38338,"montgomery, indiana"
9917,"montgomery, iowa"
31829,"montgomery, kansas"
28157,"montgomery, kentucky"
1050688,"montgomery, maryland"
9775,"montgomery, mississippi"
11551,"montgomery, missouri"
49221,"montgomery, new york"
27173,"montgomery, north carolina"
531687,"montgomery, ohio"
830915,"montgomery, pennsylvania"
208993,"montgomery, tennessee"
607391,"montgomery, texas"
98535,"montgomery, virginia"
9328,"montmorency, michigan"
18230,"montour, pennsylvania"
42758,"montrose, colorado"
6576,"moody, south dakota"
100880,"moore, north carolina"
6488,"moore, tennessee"
20940,"moore, texas"
4521,"mora, new mexico"
24874,"morehouse, louisiana"
119679,"morgan, alabama"
29068,"morgan, colorado"
19276,"morgan, georgia"
33658,"morgan, illinois"
70489,"morgan, indiana"
13309,"morgan, kentucky"
20627,"morgan, missouri"
14508,"morgan, ohio"
21403,"morgan, tennessee"
12124,"morgan, utah"
17884,"morgan, west virginia"
4642,"morrill, nebraska"
5620,"morris, kansas"
491845,"morris, new jersey"
12388,"morris, texas"
33386,"morrison, minnesota"
35328,"morrow, ohio"
11603,"morrow, oregon"
2587,"morton, kansas"
31364,"morton, north dakota"
1200,"motley, texas"
14501,"moultrie, illinois"
10545,"mountrail, north dakota"
40062,"mower, minnesota"
30622,"muhlenberg, kentucky"
812855,"multnomah, oregon"
40096,"murray, georgia"
8194,"murray, minnesota"
14073,"murray, oklahoma"
42664,"muscatine, iowa"
195769,"muscogee, georgia"
173566,"muskegon, michigan"
86215,"muskingum, ohio"
67997,"muskogee, oklahoma"
4633,"musselshell, montana"
65204,"nacogdoches, texas"
3519,"nance, nebraska"
11399,"nantucket, massachusetts"
137744,"napa, california"
94298,"nash, north carolina"
88625,"nassau, florida"
1356924,"nassau, new york"
38158,"natchitoches, louisiana"
79858,"natrona, wyoming"
110924,"navajo, arizona"
50113,"navarro, texas"
46233,"nelson, kentucky"
2879,"nelson, north dakota"
14930,"nelson, virginia"
10231,"nemaha, kansas"
6972,"nemaha, nebraska"
16007,"neosho, kansas"
29118,"neshoba, mississippi"
2750,"ness, kansas"
8252,"nevada, arkansas"
99755,"nevada, california"
558753,"new castle, delaware"
234473,"new hanover, north carolina"
854757,"new haven, connecticut"
23091,"new kent, virginia"
265206,"new london, connecticut"
17076,"new madrid, missouri"
1628706,"new york, new york"
48980,"newaygo, michigan"
38440,"newberry, south carolina"
179225,"newport news, virginia"
82082,"newport, rhode island"
7753,"newton, arkansas"
111744,"newton, georgia"
13984,"newton, indiana"
21018,"newton, mississippi"
58236,"newton, missouri"
13595,"newton, texas"
40408,"nez perce, idaho"
209281,"niagara, new york"
7269,"nicholas, kentucky"
24496,"nicholas, west virginia"
34274,"nicollet, minnesota"
2356,"niobrara, wyoming"
47744,"noble, indiana"
14424,"noble, ohio"
11131,"noble, oklahoma"
21629,"nobles, minnesota"
22092,"nodaway, missouri"
14714,"nolan, texas"
706775,"norfolk, massachusetts"
242742,"norfolk, virginia"
6375,"norman, minnesota"
9832,"north slope, alaska"
19483,"northampton, north carolina"
305285,"northampton, pennsylvania"
11710,"northampton, virginia"
90843,"northumberland, pennsylvania"
12095,"northumberland, virginia"
7621,"northwest arctic, alaska"
